,decimalLatitude,decimalLongitude,month,class,diversity,CHL,NPP,CO2,nitrate,PAR,phosphate,salinity,silicate,T,times,rate
28,21.5,-158.5,5,re,73,0.0642,242.3358447,365.7532349,0.02638,51.34686599,0.19281,34.81668091,1.41634,25.19965363,149,2.04109589
29,41.5,-73.5,5,northw,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,43.5,-70.5,5,northw,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,10.5,-61.5,6,re,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,18.5,-76.5,6,re,14,NA,218.3229207,403.5525513,0.8345,54.91255158,0.07167,36.25717545,2.87453,28.01391792,24,1.714285714
33,18.5,-77.5,6,re,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,19.5,-155.5,6,re,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,21.5,-157.5,6,re,107,0.0642,239.1272138,393.1729126,0.06076,57.30472044,0.06283,34.65735245,0.93366,26.37012863,289,2.700934579
36,21.5,-158.5,6,re,56,0.052,205.2170691,384.4039307,0.02709,57.62415796,0.06549,34.69097519,0.65948,26.36838531,98,1.75
37,22.5,-159.5,6,re,1,0.0578,232.8264036,382.5776672,0.07617,57.45560378,0.13249,34.76359558,0.80516,26.05670547,1,1
38,30.5,-87.5,6,northw,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,32.5,-64.5,6,northw,101,0.0821,358.6907467,410.118927,0.09995,50.44509303,0.1125,36.78362274,0.81115,24.37880516,442,4.376237624
40,36.5,-76.5,6,northw,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,42.5,-70.5,6,northw,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,55.5,11.5,6,northw,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,57.5,18.5,6,northw,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,61.5,-5.5,6,northw,47,1.0273,1459.541447,348.0757751,6.0288675,36.06035277,0.48669,35.40121078,1.72328,9.693791389,167,3.553191489
45,61.5,-6.5,6,northw,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,62.5,-6.5,6,northw,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,62.5,-5.5,6,northw,111,1.5112,1472.752317,330.0392456,5.00004,32.6581408,0.44096,35.30371857,3.426210667,9.424705505,474,4.27027027
48,62.5,-7.5,6,northw,24,0.651,1201.43735,341.0609741,3.43748,30.23174416,0.44811,35.29685974,2.66685,8.998295784,40,1.666666667
49,17.5,-76.5,7,re,10,0.0599,239.6418107,412.7832642,0.1766,55.22053523,0.188105,36.51062393,2.60251,28.4293499,16,1.6
50,18.5,-76.5,7,re,24,NA,199.474288,416.5569763,0.13027,55.42297869,0.17214,36.43540955,2.32231,28.62535095,33,1.375
51,18.5,-77.5,7,re,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,19.5,-154.5,7,re,5,0.0642,275.2559494,389.842926,0.04628,55.22332906,0.11482,34.79611588,1.14809,26.36634827,6,1.2
53,19.5,-155.5,7,re,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,21.5,-157.5,7,re,102,0.0714,250.3002566,388.7313538,0.01435,53.26951609,0.11279,34.71830368,1.25112,26.58255577,422,4.137254902
55,21.5,-158.5,7,re,55,0.0578,224.9642765,389.1062317,0.01291,55.5759162,0.09919,34.71041489,1.250645,26.58178711,258,4.690909091
56,22.5,-159.5,7,re,41,0.0945,235.0171197,387.5283203,0.05226,53.59999943,0.27047,34.73851395,1.01521,26.24072075,211,5.146341463
57,32.5,-64.5,7,northw,89,0.0665,259.4166511,417.2994995,0.15425,56.51040582,0.11159,36.74565125,0.94111,27.20357513,348,3.91011236
58,34.5,140.5,7,northw,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,41.5,-70.5,7,northw,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,42.5,-70.5,7,northw,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,43.5,-69.5,7,northw,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,44.5,-68.5,7,northw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,55.5,9.5,7,northw,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,55.5,11.5,7,northw,136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,55.5,8.5,7,northw,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,58.5,17.5,7,northw,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,41.5,-70.5,8,northw,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,41.5,-71.5,8,northw,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,43.5,-69.5,8,northw,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,45.5,-111.5,8,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,50.5,-2.5,8,northw,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,55.5,10.5,8,northw,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,56.5,8.5,8,northw,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,57.5,8.5,8,northw,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,59.5,18.5,8,northw,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,41.5,-71.5,9,northw,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,41.5,-70.5,9,northw,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,42.5,-70.5,9,northw,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,55.5,12.5,9,northw,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,41.5,-71.5,10,northw,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,42.5,-70.5,11,northw,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,24.5,-81.5,12,northw,39,0.2524,1397.267565,383.1427917,0.28588,31.029481,0.10787,36.30690002,2.20802,24.56562805,83,2.128205128
83,34.5,-118.5,12,northw,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,36.5,53.5,12,northw,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,-4.5,129.5,1,re,1,0.1296,270.6366886,392.564209,1.46599,49.12378394,0.34189,33.9899025,3.80085,29.92819786,1,1
86,32.5,-117.5,1,northw,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,41.5,-73.5,1,northw,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,33.5,-118.5,3,northw,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,48.5,-122.5,3,northw,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,42.5,-71.5,4,northw,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,48.5,16.5,4,northw,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,36.5,-121.5,5,northw,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,42.5,-71.5,5,northw,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,20.5,-156.5,6,re,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,42.5,-71.5,6,northw,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,46.5,8.5,6,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,51.5,1.5,6,northw,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,55.5,13.5,6,northw,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,34.5,-84.5,7,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,42.5,-71.5,7,northw,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,44.5,-69.5,7,northw,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,59.5,19.5,7,northw,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,59.5,18.5,7,northw,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,42.5,-71.5,8,northw,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,44.5,-68.5,8,northw,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,49.5,11.5,8,northw,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,57.5,14.5,8,northw,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,57.5,13.5,8,northw,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,37.5,-122.5,9,northw,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,45.5,-111.5,10,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,37.5,-122.5,11,northw,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,42.5,-71.5,11,northw,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,36.5,3.5,12,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,42.5,-71.5,12,northw,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,48.5,-122.5,12,northw,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,36.5,-121.5,1,northw,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,37.5,-122.5,1,northw,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,44.5,-63.5,1,northw,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,43.5,-66.5,1,northw,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,32.5,34.5,2,northw,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,37.5,-122.5,2,northw,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,17.5,-76.5,4,re,33,0.0689,209.7801547,398.6815491,0.55801,54.91848759,0.09579,36.2767601,3.36139,26.99718666,67,2.03030303
123,40.5,-73.5,4,northw,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,55.5,12.5,4,northw,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,55.5,10.5,4,northw,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,-41.5,174.5,5,southw,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,17.5,-76.5,5,re,34,0.0979,251.2170907,404.6326294,0.78239,49.67641592,0.135796667,36.52777863,3.27354,27.57552528,56,1.647058824
128,41.5,-71.5,5,northw,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,47.5,-122.5,5,northw,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,48.5,-122.5,5,northw,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,18.5,-66.5,6,re,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,36.5,-121.5,6,northw,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,41.5,-71.5,6,northw,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,41.5,-70.5,6,northw,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,43.5,-66.5,6,northw,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,47.5,-122.5,6,northw,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,48.5,-122.5,6,northw,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,48.5,-123.5,6,northw,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,56.5,8.5,6,northw,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,64.5,-20.5,6,northw,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,-33.5,151.5,7,southw,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,34.5,139.5,7,northw,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,40.5,-73.5,7,northw,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,43.5,-70.5,7,northw,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,44.5,-65.5,7,northw,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,45.5,-64.5,7,northw,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,46.5,-60.5,7,northw,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,47.5,-59.5,7,northw,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,48.5,-124.5,7,northw,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,48.5,-122.5,7,northw,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,55.5,14.5,7,northw,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,55.5,15.5,7,northw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,63.5,-18.5,7,northw,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,-33.5,151.5,8,southw,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,17.5,-76.5,8,re,6,0.0881,237.3253243,414.2302551,0.27037,54.8670233,0.18243,36.54533005,2.24171,28.83926964,9,1.5
156,45.5,14.5,8,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,46.5,-92.5,8,northw,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,47.5,-52.5,8,northw,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
159,47.5,-59.5,8,northw,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,63.5,-17.5,8,northw,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,41.5,-73.5,9,northw,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,44.5,-63.5,9,northw,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,57.5,-6.5,9,northw,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,48.5,-123.5,10,northw,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,11.5,-63.5,1,re,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,48.5,-123.5,1,northw,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,44.5,-93.5,4,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,27.5,-82.5,5,northw,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,51.5,-115.5,6,northw,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,36.5,-121.5,7,northw,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,47.5,-122.5,7,northw,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,49.5,-126.5,7,northw,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,56.5,8.5,7,northw,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,44.5,-71.5,8,northw,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,63.5,-18.5,8,northw,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,18.5,-76.5,10,re,1,0.0821,206.6029327,408.5654297,0.56364,44.78110318,0.09561,36.08227158,3.8808,28.7449894,3,3
177,49.5,11.5,11,northw,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,36.5,-121.5,12,northw,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,57.5,9.5,8,northw,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,-63.5,-55.5,1,southw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,-41.5,146.5,1,southw,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,-41.5,145.5,1,southw,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,-34.5,-55.5,1,southw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,24.5,-81.5,1,northw,34,0.3342,1437.569915,381.3849182,1.44183,28.52593227,0.09577,36.56316757,1.704145,22.97673988,51,1.5
185,41.5,-70.5,1,northw,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,62.5,-6.5,1,northw,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,32.5,-117.5,3,northw,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,40.5,-73.5,3,northw,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,55.5,12.5,3,northw,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,20.5,-75.5,4,re,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,30.5,-103.5,4,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,31.5,-103.5,4,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,56.5,12.5,4,northw,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,37.5,-122.5,5,northw,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,40.5,-73.5,5,northw,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,42.5,-70.5,5,northw,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,44.5,26.5,5,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,55.5,12.5,5,northw,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,57.5,9.5,5,northw,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,37.5,-122.5,6,northw,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,38.5,-122.5,6,northw,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,41.5,-73.5,6,northw,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,43.5,-69.5,6,northw,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,48.5,16.5,6,northw,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,55.5,12.5,6,northw,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,56.5,12.5,6,northw,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,57.5,12.5,6,northw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,58.5,11.5,6,northw,255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,-23.5,-134.5,7,southw,88,0.0539,195.9410369,353.9002075,0.15297,28.55768575,0.15992,36.18686676,1.37916,24.11580849,353,4.011363636
210,41.5,-71.5,7,northw,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,44.5,-67.5,7,northw,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,44.5,-66.5,7,northw,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,56.5,12.5,7,northw,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,57.5,10.5,7,northw,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,57.5,12.5,7,northw,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,58.5,11.5,7,northw,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,62.5,-6.5,7,northw,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,62.5,-5.5,7,northw,102,1.4591,2071.782956,322.0509949,3.91119,35.10549161,0.317385,35.24740219,1.75381,11.29959679,589,5.774509804
219,62.5,-7.5,7,northw,58,0.5859,1523.748273,333.8396912,2.89962,30.95916503,0.410505,35.27272797,1.424645,11.20407104,168,2.896551724
220,-23.5,-134.5,8,southw,1,0.0422,169.5364467,351.0517578,0.156925,32.36041162,0.17263,36.03747559,1.3669,23.41578484,1,1
221,42.5,-70.5,8,northw,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,43.5,-70.5,8,northw,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,50.5,-3.5,8,northw,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,52.5,-1.5,8,northw,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,58.5,11.5,8,northw,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,61.5,-5.5,8,northw,91,1.3133,1668.142631,329.7737427,3.96219,33.36118945,0.29295,35.3919487,1.862256667,12.13379669,454,4.989010989
227,62.5,-5.5,8,northw,44,1.1413,1702.844911,335.1923523,3.30919,31.59309561,0.32588,35.3455925,1.73472,11.46456814,114,2.590909091
228,62.5,-6.5,8,northw,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,26.5,-80.5,9,northw,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,43.5,-70.5,9,northw,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,-23.5,-134.5,10,southw,1,NA,125.8750953,372.2402649,0.08332,38.48849872,0.03603,36.11296844,0.63248,23.48397255,2,2
232,18.5,-77.5,10,re,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,24.5,-81.5,10,northw,29,0.2707,992.3610697,422.5245667,0.30143,41.74819679,0.10082,35.98451996,2.36047,27.64010048,89,3.068965517
234,25.5,-80.5,10,northw,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,26.5,-80.5,10,northw,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,27.5,-81.5,10,northw,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,29.5,-81.5,10,northw,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,24.5,-81.5,11,northw,37,0.2904,981.6410606,404.1817017,0.2212,32.14407828,0.09428,36.33972931,1.876993333,26.95281029,73,1.972972973
239,27.5,-81.5,11,northw,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,56.5,12.5,11,northw,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,-18.5,-37.5,12,re,5,0.0793,273.4703967,410.6790771,0.44385,51.55689517,0.20331,37.50931931,2.80776,26.46523666,13,2.6
242,13.5,-59.5,12,re,20,0.1126,243.4482706,380.1457214,1.15612,41.63445522,0.16434,35.8540802,2.02598,27.46764565,29,1.45
243,36.5,-76.5,12,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,37.5,-122.5,12,northw,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,57.5,-154.5,1,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,45.5,-68.5,1,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,44.5,-93.5,2,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,42.5,-70.5,3,northw,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,49.5,11.5,3,northw,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,37.5,-123.5,6,northw,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,37.5,-123.5,7,northw,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,37.5,-122.5,7,northw,182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,56.5,16.5,7,northw,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,47.5,-91.5,8,northw,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
